Cấp 1,Cấp 2,Cấp 3,Cấp 4,Cấp 5,Tên ngành VSIC 2018,Từ khóa nhận diện và phân loại gói thầu,Nhóm lĩnh vực phân loại lại,Lĩnh vực chi tiết trong đấu thầu (phân loại lại),
,,,1104,,"Sản xuất đồ uống không cồn, nước khoáng","Nước khoáng, nước đóng chai, sản xuất nước khoáng, sản xuất nước đóng chai",Công nghiệp,Thực phẩm,
,,,,11041,"Sản xuất nước khoáng, nước tinh khiết đóng chai","Nước khoáng, nước đóng chai, sản xuất nước khoáng, sản xuất nước đóng chai, nước tinh khiết đóng chai",Công nghiệp,Thực phẩm,
,,,,11042,Sản xuất đồ uống không cồn,"Sản xuất đồ uống, đồ uống không cồn",Công nghiệp,Thực phẩm,
,12,120,1200,,Sản xuất sản phẩm thuốc lá,"Sản xuất thuốc lá, thuốc lá",Công nghiệp,Thực phẩm,
,,,,12001,Sản xuất thuốc lá,"Thuốc lá, thuốc lá điện tử",Công nghiệp,Thực phẩm,
,,,,12009,Sản xuất thuốc hút khác,Thuốc hút khác,Công nghiệp,Thực phẩm,
,13,,,,Dệt,,,,
,,131,,,"Sản xuất sợi, vải dệt thoi và hoàn thiện sản phẩm dệt",,,,
,,,1311,13110,Sản xuất sợi,Sản xuất sợi,Công nghiệp,Dệt may-Da giày,
,,,1312,13120,Sản xuất vải dệt thoi,"Sản xuất vải, vải dệt",Công nghiệp,Dệt may-Da giày,
,,,1313,13130,Hoàn thiện sản phẩm dệt,Sản phẩm dệt,Công nghiệp,Dệt may-Da giày,
,,139,,,Sản xuất hàng dệt khác,,,,
,,,1391,13910,"Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",Sản xuất vải dệt kim,Công nghiệp,Dệt may-Da giày,
,,,1392,13920,Sản xuất hàng dệt sẵn (trừ trang phục),Sản xuất hàng dệt,Công nghiệp,Dệt may-Da giày,
,,,1393,13930,"Sản xuất thảm, chăn, đệm","Sản xuất thảm, may thảm, sản xuất chăn, may chăn, sản xuất đệm",Công nghiệp,Dệt may-Da giày,
,,,1394,13940,Sản xuất các loại dây bện và lưới,"Sản xuất lưới, sản xuất dây bện, dây bện, lưới",Công nghiệp,Dệt may-Da giày,
,,,1399,13990,Sản xuất các loại hàng dệt khác chưa được phân vào đâu,"Hàng dệt may, sản xuất hàng dệt may",Công nghiệp,Dệt may-Da giày,
,14,,,,Sản xuất trang phục,,,,
,,141,1410,14100,May trang phục (trừ trang phục từ da lông thú),"May trang phục, may quần áo, may thời trang, sản xuất quần áo, sản xuất đồng phục",Công nghiệp,Dệt may-Da giày,
,,142,1420,14200,Sản xuất sản phẩm từ da lông thú,"May áo lông, may áo da, sản xuất áo lông, sản xuất áo da",Công nghiệp,Dệt may-Da giày,
,,143,1430,14300,"Sản xuất trang phục dệt kim, đan móc","Sản xuất quần áo dệt kim, sản xuất áo len, may áo len",Công nghiệp,Dệt may-Da giày,
,15,,,,Sản xuất da và các sản phẩm có liên quan,,,,
,,151,,,"Thuộc, sơ chế da; sản xuất va li, túi xách, yên đệm; sơ chế và nhuộm da lông thú",,,,
